,location_name,TOXICITY,SEVERE_TOXICITY,IDENTITY_ATTACK,INSULT,PROFANITY,THREAT,SEXUALLY_EXPLICIT
13,Alabama,0.3122005458336626,0.17787742703735324,0.1567419032504753,0.30372399318408205,0.23096861679970176,0.16681185268434295,0.1474940561004287
45,Alaska,0.15996597105958701,0.07750760108274336,0.08660655140315213,0.140712725512579,0.1068159359412305,0.11757704616483355,0.06234099173040456
28,Arizona,0.17450095252203193,0.08793590771515239,0.09586464088769231,0.147857507830537,0.1194158748567199,0.13868768549898403,0.09943621577053702
19,Arkansas,0.34105774994994636,0.20848521512769036,0.17486751788964963,0.313589125137576,0.256121139451591,0.17478614214158028,0.1421132235093493
3,California,0.09924266423555982,0.039750691773501226,0.06702200743984396,0.08229408439036408,0.045204219140692586,0.10680481091679442,0.04511078488851629
17,Colorado,0.19979355202398477,0.10686125134714014,0.1033500607275445,0.18215333335375844,0.13957139218118197,0.15763643836543978,0.08966718411819596
2,Connecticut,0.16292901872769278,0.06950686570312613,0.07295332625329946,0.1606674055855051,0.09051005479886431,0.11252817053874477,0.05653557398562463
14,Delaware,0.15330991233232102,0.08138858815587852,0.07575519551440346,0.12635580494160523,0.10769998319197398,0.13341248395501087,0.08094167730911063
37,Florida,0.30695662790365813,0.18825803634235785,0.17127678116923215,0.28424059018571174,0.24058901257004708,0.14504012648384643,0.15819720979972834
4,Georgia,0.2488303239795782,0.14102365644259762,0.14689086018187514,0.23289537127696805,0.18632233117055752,0.15361942036517018,0.11522049931292545
43,Hawaii,0.18605556142978566,0.09438219504773503,0.10664941180339992,0.17264960669040427,0.12074062115304433,0.11689048461441792,0.0717386676185095
32,Idaho,0.33697279922164414,0.19697595673551857,0.21662309646462016,0.3303174611880853,0.23064870524817893,0.18445043619242107,0.14096751568652444
46,Illinois,0.20890180564004335,0.1119464257386339,0.11892979433521143,0.19301077923491144,0.15841926568140582,0.1387520816500181,0.09958546003527285
34,Indiana,0.25201793821633117,0.14726686728990643,0.1528132221419053,0.21176418974828468,0.17290404208446272,0.19793997997108023,0.1252303887387298
29,Iowa,0.24435188206770414,0.13950988349466453,0.15154571471139858,0.21428646345438562,0.19329310807105904,0.12348167318559014,0.10873746677449474
31,Kansas,0.2751666577508367,0.15606828540773524,0.16532079785953885,0.2563832785964857,0.20760579543332094,0.1369834967412793,0.12206945956935665
23,Kentucky,0.3253938269625873,0.19644706603901285,0.18495325699977463,0.30419412025061976,0.26321623103337843,0.17501853368379536,0.1446919804917737
10,Louisiana,0.1910569612199778,0.09875039574845726,0.1259640711373141,0.172714983936404,0.13804366361382908,0.12848590006701444,0.09082872404124306
39,Maine,0.22644857497827053,0.12953802390493718,0.11699252377198817,0.19742707279389504,0.17809424667501852,0.1363585299489283,0.10271109402447895
7,Maryland,0.157605957906939,0.07767836543378974,0.08929770853771178,0.13254692557718728,0.11255158588978882,0.12826344768786263,0.07315968669085635
41,Massachusetts,0.2729125804845137,0.13666315966790124,0.1275364051251029,0.24289664898977692,0.20822361166131687,0.14587155300259907,0.10658680652269871
16,Michigan,0.22026680705090995,0.11935130722387452,0.11380741261675047,0.18999614031975576,0.1513317269755747,0.14900515094169062,0.1091650800125
18,Minnesota,0.15211209886115315,0.07678151121715315,0.0884412850338018,0.1269242190634054,0.09566422220281082,0.12114159089468468,0.08338242547769371
48,Mississippi,0.1962833721615437,0.09392831324217896,0.13172537080969945,0.18077414651362705,0.12001372188261612,0.1428898312799522,0.0797438123920082
1,Missouri,0.2977574726608021,0.1589327911467272,0.15951796738115775,0.2925788118972002,0.18083071383601967,0.14834937907287174,0.1663698480729474
26,Montana,0.2332498506099334,0.1375159455624066,0.12865170789004643,0.21895887005374526,0.17097786916707045,0.14037285738067837,0.10986966730795478
22,Nebraska,0.275419319806422,0.15475834219088686,0.13819860572448775,0.2598337392603784,0.20005532346535934,0.14340063127056574,0.13431825961077984
11,Nevada,0.25751837481733514,0.13967157488076137,0.12569219715451393,0.2287601831186268,0.17333206436675733,0.1680371838552685,0.10766901170832767
